 Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
Wervik,House,House,229000,,3,148,Installed,No,0,0,17,113,,2,0,Just renovated
Saintes,House,House,404000,New build,3,218,Installed,No,2,0,462,462,,3,0,Just renovated
Etterbeek,House,House,650000,,6,232,Installed,No,0,0,0,95,,2,0,To renovate
Huy,House,House,99000,,3,115,Not installed,No,0,0,65,140,,2,0,To renovate
Nivelles,House,House,325000,,3,201,Installed,No,0,0,270,270,,2,0,To be done up
Izegem,House,House,349000,,3,224,,No,0,0,0,1365,,4,0,To renovate
Overijse,House,Bungalow,520000,,4,187,Semi equipped,No,0,0,625,1211,,4,0,Good
Trois-Ponts Wanne,House,House,598000,,7,348,Installed,No,0,0,0,1102,,3,0,As new
Wolvertem,House,Villa,925000,,5,374,Semi equipped,No,0,0,1900,3642,,4,0,Good
Lasne,House,Villa,,New price,4,420,Installed,No,1,0,0,2440,650,4,0,To be done up
Knokke-Heist,House,Villa,1195000,,4,,Hyper equipped,No,0,0,609,609,,4,0,Good
Nivelles,House,Villa,345000,,3,130,Hyper equipped,No,1,0,0,1440,,4,0,To be done up
Etterbeek,House,House,829000,New build,4,240,USA hyper equipped,No,0,0,80,184,,2,0,Just renovated
Huy,House,House,150000,,2,94,Semi equipped,No,0,0,0,,,3,0,As new
Ninove,House,House,210000,,4,210,Semi equipped,No,0,0,0,267,,2,0,To renovate
Herstal,House,House,229000,,4,135,,No,0,0,400,500,,2,0,Just renovated
Beersel,House,House,308000,,4,191,Semi equipped,No,0,0,0,177,,3,0,To be done up
Liège,House,Apartment block,479000,,7,220,Semi equipped,No,0,0,0,113,,2,0,Good
MARBAIS,House,House,495000,,3,225,USA hyper equipped,No,1,0,0,974,,3,0,Good
Anderlecht,House,House,535000,,6,262,USA hyper equipped,No,0,0,188,326,262,2,0,As new
Auderghem,House,House,650000,,4,194,Installed,No,0,0,50,150,,2,0,To be done up
Poppel,House,Villa,1050000,,4,645,Hyper equipped,No,1,0,0,2277,,4,0,As new
Hoboken,House,House,279950,,3,106,Semi equipped,No,0,0,76,144,,,0,Just renovated
Knokke-Heist,House,Villa,1995000,,4,257,,No,0,0,0,944,257,4,0,As new
Marchienne-au-Pont,House,House,135000,,3,124,Not installed,No,0,0,26,151,,3,0,Good
Ronse,House,House,249500,,2,220,Semi equipped,No,0,0,0,768,,3,0,Good
Liège,House,House,465000,,7,309,Installed,No,0,0,91,,,2,0,Good
Arlon,House,House,485000,,8,275,Installed,No,1,0,715,,,3,0,Good
Elsegem,House,Country house,1250000,,10,2000,Semi equipped,No,0,0,0,19600,,,0,To renovate
Brugge,House,Mansion,,New price,5,450,Hyper equipped,No,1,0,126,350,,2,0,
Ronse,House,House,169000,,3,140,,No,0,0,0,270,,2,0,
ASPER,House,Mansion,435000,,5,452,,No,0,0,0,460,,4,0,To renovate
GRAMMENE,House,Country house,585000,,3,235,Installed,No,1,0,0,4560,,4,0,
Sint-Pieters-Woluwe,House,House,1350000,,5,220,Not installed,No,0,0,145,324,,3,0,As new
GrÃce-Berleur,House,House,59000,,2,,Not installed,No,0,0,180,230,62,2,0,To renovate
Bastogne,House,House,125000,,3,,Semi equipped,No,0,0,0,110,,,0,To renovate
Bornem,House,House,127000,,3,80,Semi equipped,No,1,0,0,85,,3,0,To renovate
Westende,House,House,143000,,2,70,Hyper equipped,No,0,0,0,30,30,2,0,Just renovated
Chaudfontaine,House,House,149000,,2,70,Installed,No,0,0,0,64,,3,0,To be done up
Andenne,House,House,175000,,2,90,Hyper equipped,No,0,0,200,404,120,3,0,Good
Herstal,House,House,199000,,6,283,Not installed,No,0,0,0,194,121,4,0,To renovate
Awans Hognoul,House,House,210000,,3,110,Semi equipped,No,0,0,1200,1400,,3,0,To be done up
Ronse,House,House,231376,,2,96,Installed,No,0,0,0,113,,2,0,Good
Hoboken,House,House,285000,,3,165,,No,0,0,155,240,,,0,As new
Erembodegem,House,House,297000,,3,198,Semi equipped,No,0,0,200,811,,,0,To renovate
ANTHEIT,House,House,299000,,3,130,Installed,No,0,0,1080,1561,,4,0,Good
Drogenbos,House,House,325000,,3,150,Hyper equipped,No,0,0,100,,12,2,0,Good
ERTVELDE,House,House,335000,,3,175,Installed,No,0,0,0,353,,3,0,Good
Huy,House,House,345000,,9,240,Not installed,No,0,0,0,120,,2,0,As new
TIHANGE,House,House,349000,,4,198,Installed,No,0,0,0,518,,3,0,Good
Vielsalm,House,House,349000,,5,486,Installed,No,0,0,0,1056,,4,0,Good
Waregem,House,House,349500,,5,300,,No,0,0,0,832,,,0,Good
Verviers,House,Mansion,385000,,8,700,Semi equipped,No,0,0,780,997,,3,0,As new
Landen,House,Villa,450000,,4,166,Installed,No,1,0,0,1215,,4,0,Good
LAUW,House,House,450000,,4,175,Installed,No,1,0,1400,2175,,4,0,Good
MOLENBEEK-SAINT-JEAN,House,House,455000,,4,225,Installed,No,1,0,120,182,,,0,Just renovated
Rillaar,House,House,475000,,4,348,Installed,No,0,0,0,1149,,4,0,Good
Beauvechain,House,House,499900,,4,200,USA hyper equipped,No,0,0,0,1492,,4,0,As new
Schaerbeek,House,Apartment block,500000,,3,216,Hyper equipped,No,0,0,20,,216,2,0,Good
Tubize,House,Villa,550000,,4,200,Hyper equipped,No,0,0,600,1110,,4,0,As new
Hemiksem,House,House,649000,,7,431,Installed,No,0,0,0,921,,3,0,Good
TIHANGE,House,Exceptional property,649000,,5,284,Installed,No,1,0,2520,3625,,4,0,Just renovated
Evere,House,Exceptional property,675000,,4,215,USA hyper equipped,No,0,0,80,182,215,2,0,As new
Rotselaar,House,Mixed-use building,675000,,5,376,,No,1,0,1000,1761,,,0,Good
Rotselaar,House,Villa,675000,,5,376,,No,1,0,1000,1761,,,0,Good
Ixelles,House,Mixed-use building,695000,,4,140,,No,0,0,0,53,,2,0,To renovate
Forest,House,House,695000,,8,390,Not installed,No,0,0,0,295,390,2,0,To be done up
SINT-KWINTENS-LENNIK,House,Villa,699000,,3,250,Hyper equipped,No,1,0,0,1110,,4,0,Good
Etterbeek,House,House,700000,,5,240,Installed,No,0,0,0,240,,2,0,Good
Laeken,House,House,750000,,6,375,,No,0,0,0,420,,2,0,Good
Schaerbeek,House,House,750000,,4,259,,No,0,0,76,169,,2,0,To be done up
Damme,House,Villa,799000,,7,493,Installed,No,1,0,1284,1584,,4,0,As new
Lasne,House,Exceptional property,1095000,,5,400,Installed,No,0,0,1560,1600,,4,0,Good
Fourons,House,Apartment block,1180000,,12,720,Installed,No,0,0,200,1247,280,4,0,Good
Boechout,House,Villa,1295000,,5,326,Installed,No,0,0,0,21325,,,0,Good
Woluwe-Saint-Pierre,House,Villa,1875000,,5,540,,No,0,0,0,620,,4,0,As new
EERNEGEM,House,House,289000,,3,190,Installed,No,0,0,0,564,,3,0,Good
PUURS,House,House,309000,,3,140,Installed,No,0,0,0,2132,,4,0,To be done up
Le Roeulx,House,Villa,345000,,3,130,Hyper equipped,No,1,0,0,1440,,4,0,To be done up
LIEZELE,House,Villa,485000,,3,258,Installed,No,1,0,0,743,,4,0,Good
Tournai,House,Mansion,,New price,8,470,,No,0,0,0,640,,3,0,As new
Vaux-sur-Sûre,House,House,165000,,4,247,Not installed,No,0,0,300,400,,4,0,To renovate
Ghislenghien,House,Other properties,310000,,5,267,Semi equipped,No,0,0,0,920,,2,0,To be done up
Ixelles,House,House,1495000,,5,400,USA hyper equipped,No,0,0,90,190,,2,0,Good
Melle,House,House,,New price,2,192,,No,0,0,253,413,,3,0,To renovate
Berchem,House,House,334000,,2,135,Installed,No,0,0,68,,,,0,Just renovated
Antwerp,House,House,375000,,3,211,Semi equipped,No,0,0,0,,,,0,To renovate
Villers-la-Ville,House,Exceptional property,1295000,,5,220,USA hyper equipped,No,1,0,0,12048,,4,0,Good
Ronse,House,House,215000,,2,130,Semi equipped,No,0,0,0,231,,,0,To be done up
Hoboken,House,House,375000,,4,174,,No,0,0,180,302,,3,0,To be done up
Dendermonde,House,Town-house,369500,,4,283,Installed,No,0,0,0,155,,2,0,Good
Dendermonde,House,House,369500,,4,283,Installed,No,0,0,0,155,,2,0,Good
Schaerbeek,House,House,990000,,4,360,USA hyper equipped,No,0,0,58,171,,2,0,Good
Uccle,House,House,1050000,,3,290,Installed,No,0,0,300,480,,2,0,To renovate
Gosselies,House,Villa,300000,,4,175,Not installed,No,1,0,0,1200,,4,0,Good
Ninove,House,Mixed-use building,309000,,3,120,Installed,No,0,0,0,102,102,2,0,Good
Courcelles,House,Apartment block,299000,,3,220,USA hyper equipped,No,0,0,50,147,,2,0,As new
Trazegnies,House,Apartment block,299000,,3,220,USA hyper equipped,No,0,0,50,147,,2,0,As new
Kortrijk,House,House,375000,,4,191,,No,0,0,85,527,,3,0,To renovate
Affligem,House,House,260000,,2,200,Installed,No,0,0,300,499,90,4,0,To renovate
Grimbergen,House,House,,New price,3,116,Semi equipped,No,0,0,0,146,,2,0,Good
Gent,House,House,450000,,4,156,Installed,No,0,0,0,94,,2,0,To renovate
Woluwe-Saint-Lambert,House,House,550000,,4,218,Installed,No,0,0,75,165,,2,0,To be done up
Saint-Hubert Awenne,House,House,379000,,7,400,Installed,No,0,0,0,594,,4,0,Good
Hoboken,House,House,435000,,6,293,Semi equipped,No,0,0,147,345,,,0,As new
Lessines,House,Mansion,450000,,6,300,Installed,No,0,0,0,760,,4,0,Good
Lede,House,House,495000,,3,280,Installed,No,0,0,1249,1529,,3,0,
TOURINNES-SAINT-LAMBERT,House,Villa,595000,,4,230,Installed,No,1,0,0,4541,,4,0,Good
Wavre,House,House,1750000,,5,377,Hyper equipped,No,0,0,4747,5124,413,4,0,Good
Linkebeek,House,House,474000,,3,125,Installed,No,0,0,0,767,,3,0,Good
Etterbeek,House,Apartment block,1100000,,4,312,Hyper equipped,No,0,0,0,105,,2,0,Good
Waterloo,House,House,1150000,,5,450,Hyper equipped,No,0,0,943,1393,550,4,0,Good
Grimbergen,House,House,275000,,3,190,Installed,No,0,0,0,122,,2,0,Good
PEUTIE,House,House,299900,,2,146,Semi equipped,No,0,0,77,170,,2,0,To be done up
ERPE,House,House,349000,,3,,Semi equipped,No,1,0,0,1471,,3,0,Good
Wezemaal,House,House,357000,,3,170,Installed,No,0,0,250,540,,3,0,Good
Lint,House,Town-house,429000,,3,162,Installed,No,0,0,97,211,,2,0,As new
STEENHUIZE-WIJNHUIZE,House,House,432000,,4,156,Installed,No,1,0,0,2085,,4,0,
Drongen,House,Villa,458000,,4,243,Semi equipped,No,1,0,0,886,,4,0,
Antwerp,House,House,1580000,,8,471,Installed,No,0,0,2473,2685,,4,0,To renovate
Uccle,House,Villa,1850000,,6,465,Installed,No,0,0,0,1165,,4,0,As new
Herstal,House,House,,life annuity,3,250,Not installed,No,0,0,1000,1200,,,0,
Neufchateau,House,House,100000,,2,153,Semi equipped,No,0,0,0,159,,3,0,To be done up
Nollevaux,House,House,115000,,4,160,,No,0,0,0,1555,,4,0,To renovate
Huy,House,House,119000,,2,65,Semi equipped,No,0,0,0,35,,2,0,Good
Stoumont,House,House,120000,,2,120,Not installed,No,0,0,0,400,90,3,0,To restore
JEMEPPE,House,House,135000,,2,82,Semi equipped,No,0,0,0,61,,2,0,Good
Liège,House,House,138000,,4,92,,No,0,0,0,91,,2,0,Just renovated
Vielsalm,House,House,149000,,2,127,Semi equipped,No,0,0,0,112,,4,0,
Herstal,House,House,175000,,5,230,,No,0,0,180,473,,3,0,To be done up
NIEUWKERKEN-WAAS,House,House,185000,,2,112,Semi equipped,No,0,0,0,91,,2,0,To renovate
Athus,House,House,210000,,2,96,,No,0,0,0,120,,2,0,
FLÉMALLE-HAUTE,House,House,220000,,3,115,Not installed,No,0,0,0,161,,3,0,Good
FLÉMALLE-HAUTE,House,House,220000,,3,115,Not installed,No,0,0,0,154,,3,0,Good
Hotton,House,Mixed-use building,225000,,0,318,Semi equipped,No,0,0,0,173,,2,0,To renovate
Nassogne,House,House,230957,,3,109,Installed,No,0,0,0,258,,3,0,
Herstal,House,House,239000,,5,230,,No,0,0,180,473,,3,0,To be done up
Herstal,House,Apartment block,239000,,5,230,,No,0,0,180,473,,3,0,To be done up
Dilbeek,House,House,245000,,2,206,Semi equipped,No,0,0,0,860,,3,0,To be done up
Antwerp,House,House,249000,,1,126,Installed,No,0,0,0,36,,2,0,Just renovated
Zwevegem,House,House,249500,,4,222,Installed,No,0,0,0,202,,2,0,Good
Ronse,House,Mixed-use building,250000,,4,130,,No,0,0,0,50,,2,0,Good
Ronse,House,House,250000,,4,130,,No,0,0,0,50,,2,0,Good
Moen,House,House,255500,,4,150,Installed,No,0,0,0,131,,,0,Good
Liege,House,House,265000,,3,132,Installed,No,0,0,0,107,,2,0,Good
Izegem,House,House,275000,,4,343,,No,0,0,0,151,,2,0,To be done up
Herzele,House,House,275000,,2,163,,No,0,0,0,433,,2,0,Good
Gavere,House,House,285000,,2,115,,No,0,0,0,211,,3,0,Good
Clavier,House,House,290000,,3,150,Installed,No,0,0,0,650,,4,0,
Athus,House,House,295000,,4,147,,No,1,0,0,140,,3,0,
Marke,House,House,295000,,2,175,Semi equipped,No,0,0,0,784,,4,0,To be done up
VELZEKE-RUDDERSHOVE,House,House,325000,,3,105,Semi equipped,No,1,0,0,774,,4,0,
OETINGEN,House,House,329000,,3,140,Not installed,No,0,0,0,1375,,,0,To renovate
Kapelle-op-den-Bos,House,House,332000,,3,110,Installed,No,0,0,0,102,,2,0,Good
Nieuwrode,House,House,345000,,3,168,Installed,No,0,0,0,684,,4,0,Just renovated
Grimbergen,House,House,378000,,2,120,Hyper equipped,No,0,0,150,240,60,2,0,As new
REBECQ,House,House,395000,,5,185,,No,0,0,0,1750,,4,0,To be done up
Evere,House,House,415000,,4,200,Installed,No,0,0,0,120,,2,0,Good
BONNERT,House,House,415000,,3,130,Installed,No,0,0,0,317,,2,0,Good
Ingelmunster,House,House,420000,,2,650,Semi equipped,No,0,0,0,580,,2,0,Good
Mechelen,House,House,425000,,3,240,USA hyper equipped,No,0,0,44,158,,2,0,Good
Galmaarden,House,House,429000,,3,163,Semi equipped,No,0,0,826,967,,4,0,Good
Booischot,House,House,429000,,3,182,Semi equipped,No,0,0,0,1317,,4,0,
WÉRIS,House,House,430000,,7,434,Installed,Yes,0,0,0,404,,4,0,Good
Wolvertem,House,House,439000,,3,200,,No,0,0,0,1311,,4,0,To be done up
Grez-Doiceau,House,House,460000,,4,210,Hyper equipped,No,0,0,762,879,200,4,0,As new
Bruxelles,House,Exceptional property,495000,,4,129,Hyper equipped,No,0,0,30,,,2,0,As new
BIERGHES,House,Villa,495000,,4,165,,No,0,0,2000,2400,,4,0,To be done up
Huy,House,House,495000,,6,417,Hyper equipped,No,0,0,517,940,,3,0,As new
Huy,House,House,495000,,6,417,Hyper equipped,No,0,0,517,940,,3,0,As new
Huy,House,Mansion,495000,,6,417,Hyper equipped,No,0,0,517,940,,3,0,As new
Arlon,House,Mansion,495000,,4,210,USA installed,No,1,0,0,1200,,4,0,As new
Arlon,House,Exceptional property,495000,,4,210,USA installed,No,1,0,0,1200,,4,0,As new
Arlon,House,House,495000,,4,210,USA installed,No,1,0,0,1200,,4,0,As new
Bruxelles,House,Mixed-use building,520000,,1,120,Hyper equipped,No,0,0,0,35,,2,0,As new
Schaerbeek,House,House,545000,,2,185,Hyper equipped,No,0,0,40,200,,4,0,As new
Plainevaux,House,House,549000,,6,230,Installed,No,1,0,0,1495,,4,0,Good
De Pinte,House,House,550000,,5,184,Installed,No,0,0,0,400,,3,0,Good
Bierbeek,House,House,589000,,5,223,,No,0,0,750,1210,,4,0,Good
EMBLEM,House,House,590000,,4,250,Installed,No,0,0,0,438,,3,0,Good
Lessines,House,House,590000,,5,555,Installed,No,1,0,0,10516,,3,0,Just renovated
WOLKRANGE,House,House,595000,,3,190,Installed,No,0,0,800,921,,4,0,Just renovated
Zele,House,House,599000,,7,449,,No,0,0,500,1112,,4,0,Good
Ruisbroek,House,House,629000,,5,502,Hyper equipped,No,1,0,0,853,,2,0,Good
Beerzel,House,Manor house,640000,,3,263,Semi equipped,No,1,0,0,1016,,4,0,Good
Ramsel,House,House,650000,,4,388,Installed,No,0,0,0,2100,,4,0,Good
BRUXELLES,House,House,690000,,5,230,Installed,No,0,0,0,,,2,0,Just renovated
UITKERKE,House,House,765000,,5,323,Installed,No,1,0,0,1120,,4,0,Good
Uccle,House,Apartment block,775000,,5,230,Installed,No,0,0,0,,,3,0,Good
Ixelles,House,House,795000,,5,240,Installed,No,0,0,0,100,,2,0,
Schaerbeek,House,Mixed-use building,850000,,8,420,Semi equipped,No,0,0,130,295,,2,0,Good
Malmedy,House,House,870000,,7,500,Installed,No,0,0,0,17000,,4,0,As new
Kraainem,House,House,875000,,5,241,Installed,No,0,0,0,599,,4,0,Good
Keerbergen,House,Villa,950000,,4,320,Hyper equipped,No,1,0,1400,1906,,4,0,As new
Knokke-Heist Knokke,House,House,972000,,4,160,Installed,No,0,0,154,154,,2,0,As new
Lasne,House,House,995000,,5,272,Hyper equipped,No,0,0,2500,3000,300,4,0,Good
Ixelles,House,Apartment block,1050000,,7,315,,No,0,0,100,193,,2,0,
Etterbeek,House,Mixed-use building,1250000,,4,260,USA installed,No,0,0,0,,,2,0,As new
Knokke-Zoute,House,Villa,1285000,,3,141,Hyper equipped,No,0,0,191,191,,3,0,As new
Damme,House,Manor house,1400000,,4,349,,No,0,0,0,7080,265,4,0,Good
Knokke-Heist,House,Villa,2999000,,5,191,,No,0,0,0,290,,3,0,As new
Bruxelles,House,House,4000000,,3,550,Installed,No,1,0,0,1961,,4,0,Good
St-Genesius-Rode,House,House,4150000,,5,695,Hyper equipped,No,0,0,0,5521,,4,0,Just renovated
Rhode-Saint-Genese,House,Villa,4150000,,6,800,Installed,No,1,0,0,5500,,4,0,As new
Knokke-Heist,House,Villa,5500000,,7,580,,No,0,0,0,1622,,4,0,As new
Rochefort,House,House,120000,,6,180,Semi equipped,No,0,0,0,76,,3,0,To renovate
Lebbeke,House,House,195000,,3,132,Installed,No,0,0,0,236,,2,0,Good
TIHANGE,House,Villa,,New price,4,260,Installed,No,0,0,0,668,,4,0,
Hemiksem,House,House,497000,,5,230,Installed,No,0,0,0,660,,3,0,As new
Wavre,House,House,695000,,4,250,Hyper equipped,No,0,0,630,731,145,4,0,As new
Bruxelles,House,House,975000,,4,263,USA hyper equipped,No,0,0,60,146,20,2,0,As new
Schaerbeek,House,House,975000,,4,263,USA hyper equipped,No,0,0,60,146,20,2,0,As new
Tervuren,House,Villa,1850000,,6,390,Hyper equipped,No,0,0,1700,1907,410,4,0,Good
Genappe,House,Exceptional property,1950000,,6,1165,Hyper equipped,No,0,0,3788,3788,1166,4,0,As new
Waterloo,House,Villa,995000,,6,402,Not installed,No,1,0,900,1525,,4,0,Good
JUPILLE-SUR-MEUSE,House,Villa,219000,,2,120,Semi equipped,No,0,0,500,500,,4,0,To renovate
Kortrijk,House,House,285000,,3,121,Installed,No,0,0,0,100,,2,0,Just renovated
Merelbeke,House,House,309000,,4,150,,No,0,0,0,90,,2,0,Just renovated
Aalst,House,House,345000,,3,172,Installed,No,0,0,35,170,,2,0,Good
Arlon,House,House,430000,,4,175,Installed,No,0,0,0,431,,3,0,Good
Arlon,House,House,450000,New build,3,186,Installed,No,0,0,1250,1510,,3,0,As new
Kraainem,House,Apartment block,725000,New build,7,230,Installed,No,0,0,0,364,,2,0,Just renovated
Bruxelles,House,Apartment block,,New price,4,250,,Yes,0,0,0,,,2,0,Good
Hoeilaart,House,House,1145000,,4,310,Hyper equipped,No,0,0,1800,2000,,4,0,As new
Louvain,House,Villa,1150000,New build,4,320,Hyper equipped,No,0,0,2000,2000,,4,0,As new
Braine-l'Alleud,House,Exceptional property,1250000,,5,434,Hyper equipped,No,0,0,3400,3963,543,4,0,As new
MARCQ,House,Villa,375000,,4,195,Installed,No,0,0,0,430,,3,0,As new
Ans,House,House,175000,,3,120,Installed,No,0,0,150,211,,2,0,To be done up
Oostakker,House,House,,New price,3,116,Semi equipped,No,0,0,0,900,,4,0,To be done up
Tervuren,House,House,525000,,3,210,Installed,No,0,0,350,,,,0,To be done up
Rhode-Saint-Genese,House,Exceptional property,3200000,,6,650,Installed,No,0,0,7000,7500,,4,0,To renovate
MARCQ,House,House,225000,,4,110,Installed,No,0,0,0,194,,2,0,Good
Aalst,House,House,,New price,4,167,Installed,No,0,0,34,125,,2,0,Just renovated
Genappe,House,Exceptional property,525000,,5,329,Hyper equipped,No,0,0,0,526,160,3,0,Good
Gent,House,House,599000,,4,236,Installed,No,0,0,492,620,128,4,0,As new
Uccle,House,Town-house,690000,,2,191,USA hyper equipped,No,0,0,222,,84,2,0,As new
Lievegem,House,Castle,950000,,7,527,Installed,No,0,0,0,2623,222,4,0,Good
Izegem,House,House,185000,,3,107,,No,0,0,0,88,,2,0,
WANNEGEM-LEDE,House,House,249000,,2,176,Installed,No,0,0,0,382,,3,0,To be done up
Aarschot,House,House,499000,,8,436,Installed,No,0,0,300,537,,,0,Good
Werchter,House,Villa,579000,,4,235,Installed,No,0,0,1000,1181,,,0,As new
Mouscron,House,House,1250000,,4,265,Installed,No,0,0,0,763,,,0,Good
FLÉMALLE-HAUTE,House,House,249000,,2,129,Installed,No,0,0,250,458,,3,0,Just renovated
ChÃtelet,House,Villa,349000,,3,140,Hyper equipped,No,0,0,500,925,,4,0,Good
Avelgem Kerkhove,House,Mixed-use building,588000,,6,350,USA hyper equipped,No,0,0,1500,2033,277,4,0,Good
Ichtegem,House,Villa,449000,,3,366,Installed,No,0,0,0,945,,4,0,Good
SINSIN,House,House,325000,,4,216,Not installed,No,0,0,0,5985,,4,0,Good
BEVERE,House,Town-house,825000,,5,546,Hyper equipped,No,0,0,0,275,,2,0,Good
RHODE-SAINT-GENESE,House,Villa,1275000,,6,450,Hyper equipped,No,0,0,0,1881,,4,0,As new
MONTEGNÉE,House,House,109000,,2,90,Not installed,No,0,0,0,143,,2,0,To renovate
Evere,House,House,589000,,3,166,Hyper equipped,No,0,0,0,,,2,0,Good
Heusden,House,Mixed-use building,614000,,3,260,Installed,No,0,0,0,300,,,0,As new
Kraainem,House,House,900000,,5,290,Not installed,No,0,0,425,842,,4,0,To renovate
OSTICHES,House,House,,New price,2,70,Installed,No,0,0,0,137,,3,0,Good
Sint-genesius-rode,House,House,299000,,1,362,Not installed,No,0,0,0,157,140,3,0,To restore
Courcelles Trazegnies,House,Villa,399900,,3,187,Installed,No,0,0,1200,1884,100,4,0,Good
Chiny,House,Bungalow,420000,,3,114,Installed,No,0,0,0,1995,,4,0,Good
Gent,House,House,430000,,3,153,USA hyper equipped,No,0,0,101,174,72,2,0,As new
Uccle,House,House,675000,,4,160,Installed,No,0,0,0,435,,3,0,Good
Waterloo,House,Villa,1250000,,5,385,Hyper equipped,No,0,0,3000,3963,211,4,0,As new
Braine-l'Alleud,House,Villa,1250000,,5,385,Hyper equipped,No,0,0,3000,3963,211,4,0,As new
Seraing,House,House,199000,,2,105,Hyper equipped,No,0,0,0,85,,,0,As new
Torhout,House,House,259000,,2,137,Installed,No,0,0,0,302,,,0,Good
Tervuren,House,House,,New price,2,90,Installed,No,0,0,300,390,,3,0,To renovate
Seraing,House,House,,life annuity,3,135,Installed,No,0,0,94,170,,2,0,As new
FLÉMALLE-HAUTE,House,House,,life annuity,2,100,Semi equipped,No,0,0,15,55,,2,0,Good
SAINT-GEORGES,House,House,,life annuity,2,85,Semi equipped,No,0,0,171,265,,3,0,Good
Amay,House,House,59000,,2,114,Not installed,No,0,0,0,45,,2,0,To renovate
Meix-devant-Virton,House,House,89000,,2,65,Semi equipped,No,0,0,0,,,2,0,To be done up
Herbeumont Saint-Médard,House,House,99000,,2,,Not installed,No,0,0,0,600,188,4,0,To renovate
Herstal,House,House,105000,,1,79,Semi equipped,No,0,0,0,45,34,2,0,Good
Liege,House,House,109000,,3,140,Not installed,No,0,0,250,316,,3,0,To renovate
Comblain-au-Pont,House,House,109000,,2,65,Semi equipped,No,0,0,0,55,,2,0,To be done up
ANTHEIT,House,House,,life annuity,3,195,Semi equipped,No,0,0,3500,3732,,3,0,Good
Herbeumont Saint-Médard,House,House,121000,,3,,Semi equipped,No,0,0,0,170,,4,0,To renovate
Hoboken,House,House,125000,,2,75,Semi equipped,No,0,0,3,58,,2,0,To renovate
TIHANGE,House,House,135000,,2,103,Installed,No,0,0,106,180,,2,0,Good
Gilly,House,House,135000,,2,107,USA hyper equipped,No,0,0,0,110,,4,0,Just renovated
Saint-Hubert,House,House,135000,,7,507,Not installed,No,0,0,388,591,,3,0,To renovate
Huy,House,House,139000,,2,94,Semi equipped,No,0,0,130,214,,2,0,To be done up
OMBRET-RAWSA,House,House,159500,,5,220,Not installed,No,0,0,0,359,,4,0,To renovate
MARLOIE,House,House,165000,,2,115,Semi equipped,No,0,0,0,213,,3,0,Good
HERMALLE-SOUS-HUY,House,House,169000,,2,155,Not installed,No,0,0,220,494,,4,0,To be done up
Libramont-Chevigny,House,House,175000,,3,172,Not installed,No,0,0,1000,1254,,4,0,To renovate
GRÂCE-HOLLOGNE,House,House,179000,,5,125,Semi equipped,No,0,0,98,160,,2,0,Good
Huy,House,House,179000,,4,150,Installed,No,0,0,0,50,,2,0,Good
Huy,House,House,179000,,4,180,Installed,No,0,0,0,109,,2,0,Good
Léglise Mellier,House,House,180000,,2,112,Not installed,No,0,0,400,,66,4,0,To be done up
Herstal,House,House,189000,,3,140,,No,0,0,108,214,,,0,Good
Paliseul Fays-les-Veneurs,House,House,189000,,6,284,Semi equipped,No,0,0,180,513,,4,0,Good
Huy,House,House,189500,,2,80,Semi equipped,No,0,0,0,992,,3,0,Good
HANEFFE,House,House,190000,,4,240,Semi equipped,No,0,0,1900,2060,,4,0,To renovate
Neufchateau,House,Mixed-use building,190000,,3,377,USA installed,No,0,0,0,183,122,2,0,Good
HUCCORGNE,House,House,195000,,3,105,Installed,No,0,0,27,163,,2,0,Just renovated
GLONS,House,House,195000,,2,98,Semi equipped,No,0,0,185,323,,3,0,Good
Ronse,House,House,198000,,5,160,Semi equipped,No,0,0,0,65,,2,0,
Halle,House,House,213000,,3,116,Semi equipped,No,0,0,0,60,,2,0,Good
HUISSIGNIES,House,Country house,220000,,1,178,Not installed,No,0,0,0,4380,,3,0,To renovate
Nivelles,House,House,225000,,2,170,Semi equipped,No,0,0,0,270,110,2,0,To be done up
Menen,House,House,225000,,3,360,Installed,No,0,0,0,134,,2,0,Good
Wanze,House,House,229000,,3,170,Installed,No,0,0,270,475,,4,0,Good
Ronse,House,House,235000,,4,180,Installed,No,0,0,0,180,,,0,Good
GRÂCE-BERLEUR,House,House,239000,,4,155,USA installed,No,0,0,350,472,,2,0,Good
Vivegnis,House,House,239000,,5,170,,No,0,0,400,930,,,0,To be done up
Marchin,House,House,245000,,2,140,Installed,No,0,0,500,861,,4,0,As new
Bertrix Auby-sur-Semois,House,House,248000,,5,,Hyper equipped,No,0,0,280,645,360,3,0,To be done up
Hermalle-sous-Huy,House,House,249000,,4,291,Semi equipped,No,0,0,2446,2792,346,3,0,To restore
Hermalle-sous-Huy,House,Mixed-use building,249000,,4,291,Semi equipped,No,0,0,2446,2792,346,3,0,To restore
Ogy,House,Country house,250000,,3,175,Semi equipped,No,0,0,0,420,,3,0,To renovate
Etalle,House,House,255000,,3,165,,No,0,0,50,144,,,0,As new
Huy,House,Apartment block,259000,,4,185,Semi equipped,No,0,0,0,90,,2,0,To be done up
VINALMONT,House,Bungalow,259000,,2,190,Installed,No,0,0,1660,1790,,4,0,Good
Liedekerke,House,House,269000,,3,176,Installed,No,0,0,78,110,,2,0,As new
